"","subject","roi","run","onset","category","trial_type","word","logit","acc"
"1","sub-020","VTC","1",0.0021,"WP","AH","OVEN",2.92579491344083,1
"2","sub-020","VTC","1",12.019,"WF","AH","BANANA",3.53377804407635,1
"3","sub-020","VTC","1",24.0186,"WF","AH","GOAT",3.04090288220917,1
"4","sub-020","VTC","1",36.0181,"WP","NR","HAM",3.66316965064482,1
"5","sub-020","VTC","1",48.0246,"WF","AH","PAIL",3.6617464378441,1
"6","sub-020","VTC","1",60.0251,"WP","AM","DEER",3.63233873963933,1
"7","sub-020","VTC","1",72.0253,"WF","AH","ENVELOPE",3.61574939668103,1
"8","sub-020","VTC","1",84.026,"WP","AM","HONEY",3.65010526332938,1
"9","sub-020","VTC","1",96.0259,"WF","AH","MONKEY",3.65482017816995,1
"10","sub-020","VTC","1",108.0254,"WP","NR","MOON",3.66226063741437,1
"11","sub-020","VTC","1",120.0181,"WF","AH","HIGHWAY",3.66011706207532,1
"12","sub-020","VTC","1",132.0178,"WP","AH","VIOLIN",3.60982387335255,1
"13","sub-020","VTC","1",144.0177,"WP","NR","MAGNET",3.539649376776,1
"14","sub-020","VTC","1",156.0249,"WF","AH","SEAL",3.65675648534673,1
"15","sub-020","VTC","1",168.0272,"WF","AH","BROOM",3.56115365114379,1
"16","sub-020","VTC","1",180.0254,"WP","NR","NET",3.66169919772187,1
"17","sub-020","VTC","1",192.0267,"WF","NR","BARREL",3.16348942535003,1
"18","sub-020","VTC","1",204.0255,"WP","AH","PYTHON",3.3049627079969,1
"19","sub-020","VTC","1",216.0181,"WF","IM","DESK",2.56137513180198,1
"20","sub-020","VTC","1",228.0187,"WF","AH","SWORD",3.66252436315141,1
"21","sub-020","VTC","1",240.0192,"WP","IM","BOWL",3.64877482701154,1
"22","sub-020","VTC","1",252.0262,"WP","AM","ANCHOR",-0.0999466231724447,0
"23","sub-020","VTC","1",264.0263,"WP","IM","SHEEP",3.65896704534945,1
"24","sub-020","VTC","1",276.0259,"WF","AH","STRING",3.65160978869643,1
"25","sub-020","VTC","2",0.0015,"WF","AH","BASKET",3.27105774480171,1
"26","sub-020","VTC","2",12.0252,"WP","AH","ORANGE",3.48056976406357,1
"27","sub-020","VTC","2",24.026,"WF","AH","MUSTARD",3.61471025492794,1
"28","sub-020","VTC","2",36.0265,"WP","IM","APPLE",3.61975048209248,1
"29","sub-020","VTC","2",48.0253,"WP","IM","PAINTBRUSH",3.65775197272111,1
"30","sub-020","VTC","2",60.0262,"WF","AH","CHERRY",3.65920078676669,1
