"","subject","roi","run","onset","category","trial_type","word","logit","acc"
"1","sub-020","VTC","1",0.0046,"face","IM","DESK",0.939543371632994,1
"2","sub-020","VTC","1",24.0181,"face","AH","GOAT",-0.749963477261813,0
"3","sub-020","VTC","1",36.0174,"face","AH","ENVELOPE",-1.8222226549585,0
"4","sub-020","VTC","1",72.0123,"face","AH","STRING",0.048122177910759,1
"5","sub-020","VTC","1",84.012,"face","AH","BROOM",0.516924906241323,1
"6","sub-020","VTC","1",96.0175,"face","AH","SWORD",1.53300713230213,1
"7","sub-020","VTC","1",108.0187,"place","AH","PYTHON",0.475275312407979,1
"8","sub-020","VTC","1",132.018,"place","AM","DEER",1.52831192973815,1
"9","sub-020","VTC","1",180.0127,"place","AH","VIOLIN",1.75269777693447,1
"10","sub-020","VTC","1",204.017,"face","AH","SEAL",1.87940721130339,1
"11","sub-020","VTC","1",216.0171,"face","AH","PAIL",0.298849206158017,1
"12","sub-020","VTC","1",228.0188,"face","AH","HIGHWAY",0.923287915999507,1
"13","sub-020","VTC","1",240.0177,"place","AH","OVEN",2.12526044162071,1
"14","sub-020","VTC","1",252.0172,"place","IM","BOWL",0.995556912171532,1
"15","sub-020","VTC","1",264.0124,"face","AH","MONKEY",4.18328972217611,1
"16","sub-020","VTC","1",276.0118,"face","AH","BANANA",-1.2766602733144,0
"17","sub-020","VTC","1",300.0176,"place","AM","ANCHOR",1.31796125844972,1
"18","sub-020","VTC","1",312.0183,"place","AM","HONEY",-1.86708695768888,0
"19","sub-020","VTC","1",324.0185,"place","IM","SHEEP",0.146332851803261,1
"20","sub-020","VTC","2",12.0181,"face","AH","LAMP",-1.2482514760494,0
"21","sub-020","VTC","2",24.0193,"face","AH","NEEDLE",2.67131823389622,1
"22","sub-020","VTC","2",48.0176,"face","IM","COUCH",-1.37735016879947,0
"23","sub-020","VTC","2",60.0123,"place","IM","PAINTBRUSH",-0.498673149878955,0
"24","sub-020","VTC","2",72.0127,"place","IH","ROPE",-0.730478139544214,0
"25","sub-020","VTC","2",84.0135,"face","IM","MUFFIN",-1.66638718608266,0
"26","sub-020","VTC","2",96.0186,"face","AH","CAPE",0.768081283054774,1
"27","sub-020","VTC","2",108.0189,"place","AH","MILK",-1.48530143462273,0
"28","sub-020","VTC","2",120.0185,"place","IM","SOUP",-2.79878200700929,0
"29","sub-020","VTC","2",144.0185,"face","AH","OYSTER",1.62634634884216,1
"30","sub-020","VTC","2",156.0134,"face","AH","MUSTARD",-1.88213957967639,0
"31","sub-020","VTC","2",168.0139,"place","AH","NAPKIN",3.07993089717457,1
"32","sub-020","VTC","2",180.0127,"place","AH","OMELET",2.9162069702247,1
"33","sub-020","VTC","2",192.0186,"place","AH","FENCE",1.21720508210305,1
"34","sub-020","VTC","2",204.0183,"face","AH","BASKET",1.22500049601386,1
"35","sub-020","VTC","2",216.0192,"place","IM","CIGAR",0.605895184538749,1
"36","sub-020","VTC","2",228.0184,"face","AH","CHERRY",0.0060690508023812,1
"37","sub-020","VTC","2",240.0187,"face","AH","MAP",1.17917336036456,1
"38","sub-020","VTC","2",288.016,"face","AH","CASTLE",-3.27534270292918,0
"39","sub-020","VTC","2",300.0193,"place","IM","APPLE",0.632306684631175,1
"40","sub-020","VTC","2",312.0178,"place","IM","TOWEL",-0.692024007611453,0
"41","sub-020","VTC","2",324.0181,"face","AH","CANNON",1.77708590433961,1
"42","sub-020","VTC","2",336.0181,"place","AH","PIGEON",-0.858439313837063,0
"43","sub-020","VTC","2",348.0179,"place","AH","ORANGE",-1.58333207655821,0
"44","sub-020","VTC","3",12.0188,"place","AH","CHEESE",3.13356968600675,1
"45","sub-020","VTC","3",24.0191,"place","AH","RAILROAD",3.46139542432327,1
"46","sub-020","VTC","3",48.0139,"place","AM","JELLY",-4.4017038225907,0
"47","sub-020","VTC","3",60.0146,"place","AH","WINE",1.77969057467246,1
"48","sub-020","VTC","3",84.0194,"face","AH","STAPLER",2.23993701827235,1
"49","sub-020","VTC","3",96.0183,"face","AH","BALLOON",0.848115977373782,1
"50","sub-020","VTC","3",108.0187,"face","AH","BIBLE",3.48471096264816,1
"51","sub-020","VTC","3",120.0201,"place","AH","SYRUP",3.50862275291793,1
"52","sub-020","VTC","3",132.0158,"face","AH","JACKET",-0.752610168151509,0
"53","sub-020","VTC","3",144.0144,"place","AH","PHONE",2.14266864337521,1
"54","sub-020","VTC","3",156.014,"face","AM","KETTLE",-0.480651981306193,0
"55","sub-020","VTC","3",168.018,"face","AH","KNIFE",1.38221303596457,1
"56","sub-020","VTC","3",180.019,"place","AH","TIRE",1.43995385243192,1
"57","sub-020","VTC","3",204.0189,"face","AH","BACON",4.45129732491437,1
"58","sub-020","VTC","3",228.0202,"place","AH","TRAY",0.448720294532608,1
"59","sub-020","VTC","3",252.0139,"place","AM","WHIP",-0.39497517874363,0
"60","sub-020","VTC","3",264.0141,"face","AH","TRUMPET",0.587260548482697,1
"61","sub-020","VTC","3",276.0195,"face","AH","CRADLE",0.957242246267645,1
"62","sub-020","VTC","3",288.0184,"face","AH","MOUSE",2.25629980831692,1
"63","sub-020","VTC","3",300.0199,"place","AH","LADDER",3.29535064995763,1
"64","sub-020","VTC","3",312.0186,"face","AH","COFFEE",-0.314624514473317,0
"65","sub-020","VTC","3",324.0185,"place","AH","ROSE",-0.166219474167032,0
"66","sub-020","VTC","3",348.0143,"face","AH","UMBRELLA",-0.412989273096802,0
"67","sub-020","VTC","4",0.0043,"face","IM","WOLF",1.53495284133807,1
"68","sub-020","VTC","4",24.0194,"face","AH","OTTER",-0.534496888677141,0
"69","sub-020","VTC","4",36.0188,"face","AH","BADGE",1.65353208754675,1
"70","sub-020","VTC","4",48.0206,"place","AH","POTATO",-1.03477518873238,0
"71","sub-020","VTC","4",60.0205,"place","AH","STOOL",1.05282003904567,1
"72","sub-020","VTC","4",84.0141,"place","AH","LION",-0.303410094960505,0
"73","sub-020","VTC","4",96.0138,"place","AM","TROPHY",-2.17463636285723,0
"74","sub-020","VTC","4",108.0134,"place","AH","FLAG",6.45320577198002,1
"75","sub-020","VTC","4",120.0196,"face","IM","CROWN",0.535633918274712,1
"76","sub-020","VTC","4",132.0189,"face","AH","KITTEN",1.02629845391164,1
"77","sub-020","VTC","4",144.0197,"face","AH","MUG",3.38749227868507,1
"78","sub-020","VTC","4",156.0195,"place","AH","SPOON",2.63660004882862,1
"79","sub-020","VTC","4",180.0131,"face","AH","CRAB",2.98422648996307,1
"80","sub-020","VTC","4",192.0134,"place","AH","FAN",1.60950983938737,1
"81","sub-020","VTC","4",204.0145,"face","AH","TOAST",3.02863963389169,1
"82","sub-020","VTC","4",216.0189,"place","AH","LIZARD",-1.33899376404047,0
"83","sub-020","VTC","4",228.0185,"place","AH","BELL",0.61117395927019,1
"84","sub-020","VTC","4",240.0192,"face","AH","TIGER",3.06869621006671,1
"85","sub-020","VTC","4",252.0212,"place","AH","PENNY",6.135414177907,1
"86","sub-020","VTC","4",288.0157,"place","AH","FORK",1.79674118078256,1
"87","sub-020","VTC","4",300.0151,"face","AM","BENCH",-0.850770943471722,0
"88","sub-020","VTC","4",312.0191,"face","AH","CANE",1.56656839950194,1
"89","sub-020","VTC","4",336.0194,"face","IM","TURTLE",-1.95799783754678,0
"90","sub-020","VTC","5",0.0051,"face","AH","GLASSES",-0.417043825551204,0
"91","sub-020","VTC","5",12.0211,"face","AH","SOAP",-0.67918899736965,0
"92","sub-020","VTC","5",36.0199,"face","AH","BONE",0.115966280878049,1
"93","sub-020","VTC","5",72.0148,"face","AH","TAXI",-0.50533588607971,0
"94","sub-020","VTC","5",84.0142,"place","AH","QUILT",2.46355929018179,1
"95","sub-020","VTC","5",96.0137,"place","AM","STAR",0.702168492216104,1
"96","sub-020","VTC","5",108.0199,"place","AH","SHOVEL",2.16907436087082,1
"97","sub-020","VTC","5",132.0203,"place","AH","HOOK",-2.17030399987254,0
